n_sectores,repeticion,json_bytes,json_gzip_bytes,protobuf_bytes,protobuf_gzip_bytes,ahorro_pb_vs_json_pct,ahorro_pbgz_vs_jsongz_pct
1,1,113,110,46,66,59.29,40.0
1,2,113,110,46,66,59.29,40.0
1,3,113,110,46,66,59.29,40.0
1,4,113,110,46,66,59.29,40.0
1,5,113,110,46,66,59.29,40.0
1,6,113,110,46,66,59.29,40.0
1,7,113,110,46,66,59.29,40.0
1,8,113,110,46,66,59.29,40.0
1,9,113,110,46,66,59.29,40.0
1,10,113,110,46,66,59.29,40.0
5,1,565,156,230,106,59.29,32.05
5,2,565,156,230,106,59.29,32.05
5,3,565,156,230,106,59.29,32.05
5,4,565,156,230,106,59.29,32.05
5,5,565,156,230,106,59.29,32.05
5,6,565,156,230,106,59.29,32.05
5,7,565,156,230,106,59.29,32.05
5,8,565,156,230,106,59.29,32.05
5,9,565,156,230,106,59.29,32.05
5,10,565,156,230,106,59.29,32.05
10,1,1130,193,460,145,59.29,24.87
10,2,1130,193,460,145,59.29,24.87
10,3,1130,193,460,145,59.29,24.87
10,4,1130,193,460,145,59.29,24.87
10,5,1130,193,460,145,59.29,24.87
10,6,1130,193,460,145,59.29,24.87
10,7,1130,193,460,145,59.29,24.87
10,8,1130,193,460,145,59.29,24.87
10,9,1130,193,460,145,59.29,24.87
10,10,1130,193,460,145,59.29,24.87
25,1,2870,316,1195,261,58.36,17.41
25,2,2870,316,1195,261,58.36,17.41
25,3,2870,316,1195,261,58.36,17.41
25,4,2870,316,1195,261,58.36,17.41
25,5,2870,316,1195,261,58.36,17.41
25,6,2870,316,1195,261,58.36,17.41
25,7,2870,316,1195,261,58.36,17.41
25,8,2870,316,1195,261,58.36,17.41
25,9,2870,316,1195,261,58.36,17.41
25,10,2870,316,1195,261,58.36,17.41
50,1,5770,507,2420,417,58.06,17.75
50,2,5770,507,2420,417,58.06,17.75
50,3,5770,507,2420,417,58.06,17.75
50,4,5770,507,2420,417,58.06,17.75
50,5,5770,507,2420,417,58.06,17.75
50,6,5770,507,2420,417,58.06,17.75
50,7,5770,507,2420,417,58.06,17.75
50,8,5770,507,2420,417,58.06,17.75
50,9,5770,507,2420,417,58.06,17.75
50,10,5770,507,2420,417,58.06,17.75
100,1,11570,901,4870,734,57.91,18.53
100,2,11570,901,4870,734,57.91,18.53
100,3,11570,901,4870,734,57.91,18.53
100,4,11570,901,4870,734,57.91,18.53
100,5,11570,901,4870,734,57.91,18.53
100,6,11570,901,4870,734,57.91,18.53
100,7,11570,901,4870,734,57.91,18.53
100,8,11570,901,4870,734,57.91,18.53
100,9,11570,901,4870,734,57.91,18.53
100,10,11570,901,4870,734,57.91,18.53
